PCN,ISSUED,LOCATION,,FINE,Total Paid,Balance
LS84577589,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,0
LS84577589,04/07/2020,"BUS LANE, BOAR LANE",60,31/07/2020,0,0
LS8457759A,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84577614,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84577625,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84577658,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84577669,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84577680,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84577705,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84577749,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84577818,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84577829,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS8457783A,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84577851,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84577909,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84577920,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84577931,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84577942,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84577953,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84577964,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84578005,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84578049,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84578060,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84578071,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84578082,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84578093,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84578140,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84578151,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84578162,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84578173,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84578184,04/07/2020,"BUS LANE, BOAR LANE",60,04/07/2020,0,60
LS84575663,05/07/2020,"BUS LANE, COMMERCIAL ROAD (NR BEECROFT ST)",60,05/07/2020,30,0
LS84575674,05/07/2020,"BUS LANE, COMMERCIAL ROAD (NR BEECROFT ST)",60,05/07/2020,30,0
LS84575674,05/07/2020,"BUS LANE, COMMERCIAL ROAD (NR BEECROFT ST)",60,24/07/2020,30,0
LS84575685,05/07/2020,"BUS LANE, COMMERCIAL ROAD (NR BEECROFT ST)",60,05/07/2020,30,0
LS84575685,05/07/2020,"BUS LANE, COMMERCIAL ROAD (NR BEECROFT ST)",60,19/08/2020,30,0
LS84575685,05/07/2020,"BUS LANE, COMMERCIAL ROAD (NR BEECROFT ST)",60,28/08/2020,30,0
LS84575685,05/07/2020,"BUS LANE, COMMERCIAL ROAD (NR BEECROFT ST)",60,02/09/2020,30,0
LS8457570A,05/07/2020,"BUS LANE, CANAL STREET",60,05/07/2020,0,60
LS84575710,05/07/2020,"BUS LANE, CANAL STREET",60,13/08/2020,30,0
LS84575721,05/07/2020,"BUS LANE, CANAL STREET",60,22/07/2020,30,0
LS84575754,05/07/2020,"BUS LANE, YORK ROAD JUNC SKELTON TERRACE",60,22/07/2020,30,0
LS84575765,05/07/2020,"BUS LANE, YORK ROAD JUNC SKELTON TERRACE",60,05/07/2020,30,0
LS84575798,05/07/2020,"BUS LANE, NORTH ST JUNC GRAFTON ST",60,05/07/2020,0,60
LS84575856,05/07/2020,"BUS LANE, BURMANTOFTS ST JUNC RIGTON APP",60,05/07/2020,30,0
LS84575867,05/07/2020,"BUS LANE, BURMANTOFTS ST JUNC RIGTON APP",60,25/07/2020,30,0
LS84575878,05/07/2020,"BUS LANE, BURMANTOFTS ST JUNC RIGTON APP",60,05/07/2020,30,0
LS84575878,05/07/2020,"BUS LANE, BURMANTOFTS ST JUNC RIGTON APP",60,21/07/2020,30,0
LS84575889,05/07/2020,"BUS LANE, BURMANTOFTS ST JUNC RIGTON APP",60,05/07/2020,30,0
LS84575925,05/07/2020,"BUS LANE, DEWSBURY RD JNC JACK LANE",60,05/07/2020,30,0
LS84575936,05/07/2020,"BUS LANE, DEWSBURY ROAD (M621)",60,22/07/2020,30,0
LS84576178,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,05/07/2020,0,60
LS84576203,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,12/08/2020,60,0
LS84576214,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,05/07/2020,30,0
LS84576214,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,23/07/2020,30,0
LS84576225,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,04/08/2020,30,0
LS84576236,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,02/08/2020,30,0
LS84576258,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,29/09/2020,0,98
LS8457627A,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,22/07/2020,30,0
LS84576291,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,05/07/2020,30,0
LS84576316,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,29/09/2020,0,98
LS84576327,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,05/07/2020,98,0
LS84576327,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,19/08/2020,98,0
LS84576338,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,05/07/2020,0,60
LS84576360,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,05/07/2020,30,0
LS84576360,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,19/08/2020,30,0
LS84576360,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,28/08/2020,30,0
LS84576360,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,02/09/2020,30,0
LS84576495,05/07/2020,"BUS LANE, YORK RD JNC APPLETON WAY",60,21/08/2020,90,0
LS84576509,05/07/2020,"BUS LANE, YORK RD JNC APPLETON WAY",60,05/07/2020,30,0
LS84576509,05/07/2020,"BUS LANE, YORK RD JNC APPLETON WAY",60,24/08/2020,30,0
LS8457651A,05/07/2020,"BUS LANE, YORK RD JNC APPLETON WAY",60,06/08/2020,30,0
LS84576688,05/07/2020,"BUS LANE, WOODHOUSE LANE MSCP, LEEDS",60,05/07/2020,30,0
LS84576688,05/07/2020,"BUS LANE, WOODHOUSE LANE MSCP, LEEDS",60,21/07/2020,30,0
LS84576702,05/07/2020,"BUS LANE, WOODHOUSE LANE MSCP, LEEDS",60,05/07/2020,30,0
LS84576702,05/07/2020,"BUS LANE, WOODHOUSE LANE MSCP, LEEDS",60,24/07/2020,30,0
LS84576713,05/07/2020,"BUS LANE, WOODHOUSE LANE MSCP, LEEDS",60,24/07/2020,30,0
LS84576724,05/07/2020,"BUS LANE, WOODHOUSE LANE MSCP, LEEDS",60,05/07/2020,30,0
LS84576724,05/07/2020,"BUS LANE, WOODHOUSE LANE MSCP, LEEDS",60,21/07/2020,30,0
LS84576768,05/07/2020,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60,05/07/2020,30,0
LS84576779,05/07/2020,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60,05/07/2020,0,98
LS84576779,05/07/2020,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60,19/08/2020,0,98
LS84576790,05/07/2020,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60,05/07/2020,30,0
LS84576790,05/07/2020,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60,29/07/2020,30,0
LS84576917,05/07/2020,"BUS LANE, NEW MARKET STREET",60,30/07/2020,30,0
LS84576928,05/07/2020,"BUS LANE, NEW MARKET STREET",60,05/07/2020,0,98
LS84576928,05/07/2020,"BUS LANE, NEW MARKET STREET",60,19/08/2020,0,98
LS84576939,05/07/2020,"BUS LANE, NEW MARKET STREET",60,05/07/2020,30,0
LS8457694A,05/07/2020,"BUS LANE, NEW MARKET STREET",60,05/07/2020,0,60
LS84576961,05/07/2020,"BUS LANE, NEW MARKET STREET",60,20/08/2020,30,0
LS84576972,05/07/2020,"BUS LANE, NEW MARKET STREET",60,05/07/2020,90,0
LS84576972,05/07/2020,"BUS LANE, NEW MARKET STREET",60,27/08/2020,90,0
LS84576983,05/07/2020,"BUS LANE, NEW MARKET STREET",60,29/09/2020,0,98
LS84578209,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS8457821A,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578231,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578242,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578264,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578275,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578297,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578300,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578333,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578355,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578366,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578399,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578446,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578457,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS8457848A,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578526,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578548,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578606,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578650,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578661,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578708,05/07/2020,"BUS LANE, BURLEY ROAD",60,05/07/2020,0,60
LS84575663,05/07/2020,"BUS LANE, COMMERCIAL ROAD (NR BEECROFT ST)",60,05/08/2020,30,0
LS84575710,05/07/2020,"BUS LANE, CANAL STREET",60,05/07/2020,30,0
LS84575721,05/07/2020,"BUS LANE, CANAL STREET",60,05/07/2020,30,0
LS84575721,05/07/2020,"BUS LANE, CANAL STREET",60,21/07/2020,30,0
LS84575743,05/07/2020,"BUS LANE, YORK ROAD JUNC SKELTON TERRACE",60,05/07/2020,0,60
LS84575754,05/07/2020,"BUS LANE, YORK ROAD JUNC SKELTON TERRACE",60,05/07/2020,30,0
LS84575765,05/07/2020,"BUS LANE, YORK ROAD JUNC SKELTON TERRACE",60,30/07/2020,30,0
LS84575845,05/07/2020,"BUS LANE, BURMANTOFTS ST JUNC RIGTON APP",60,05/07/2020,30,0
LS84575845,05/07/2020,"BUS LANE, BURMANTOFTS ST JUNC RIGTON APP",60,24/07/2020,30,0
LS84575845,05/07/2020,"BUS LANE, BURMANTOFTS ST JUNC RIGTON APP",60,27/07/2020,30,0
LS84575856,05/07/2020,"BUS LANE, BURMANTOFTS ST JUNC RIGTON APP",60,22/07/2020,30,0
LS84575867,05/07/2020,"BUS LANE, BURMANTOFTS ST JUNC RIGTON APP",60,05/07/2020,30,0
LS84575889,05/07/2020,"BUS LANE, BURMANTOFTS ST JUNC RIGTON APP",60,24/07/2020,30,0
LS84575925,05/07/2020,"BUS LANE, DEWSBURY RD JNC JACK LANE",60,25/07/2020,30,0
LS84575936,05/07/2020,"BUS LANE, DEWSBURY ROAD (M621)",60,05/07/2020,30,0
LS84575936,05/07/2020,"BUS LANE, DEWSBURY ROAD (M621)",60,21/07/2020,30,0
LS84576189,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,05/07/2020,0,60
LS8457619A,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,05/07/2020,30,0
LS8457619A,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,21/07/2020,30,0
LS84576203,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,05/07/2020,60,0
LS84576214,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,22/07/2020,30,0
LS84576225,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,05/07/2020,30,0
LS84576225,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,03/08/2020,30,0
LS84576236,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,05/07/2020,30,0
LS84576247,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,05/07/2020,30,0
LS84576247,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,24/07/2020,30,0
LS84576258,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,05/07/2020,0,98
LS84576258,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,19/08/2020,0,98
LS84576269,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,05/07/2020,30,0
LS84576269,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,27/07/2020,30,0
LS8457627A,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,05/07/2020,30,0
LS8457627A,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,23/07/2020,30,0
LS84576280,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,05/07/2020,30,0
LS84576280,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,22/07/2020,30,0
LS84576291,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,22/07/2020,30,0
LS84576305,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,05/07/2020,0,60
LS84576316,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,05/07/2020,0,98
LS84576316,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,19/08/2020,0,98
LS84576327,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,29/09/2020,98,0
LS84576349,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,05/07/2020,30,0
LS84576349,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,23/07/2020,30,0
LS8457635A,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,05/07/2020,0,0
LS8457635A,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,23/07/2020,0,0
LS84576371,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,05/07/2020,30,0
LS84576371,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,21/07/2020,30,0
LS84576382,05/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,05/07/2020,0,60
LS84576495,05/07/2020,"BUS LANE, YORK RD JNC APPLETON WAY",60,05/07/2020,90,0
LS84576495,05/07/2020,"BUS LANE, YORK RD JNC APPLETON WAY",60,19/08/2020,90,0
LS8457651A,05/07/2020,"BUS LANE, YORK RD JNC APPLETON WAY",60,05/07/2020,30,0
LS84576655,05/07/2020,"BUS LANE, WOODHOUSE LANE MSCP, LEEDS",60,05/07/2020,30,0
LS84576655,05/07/2020,"BUS LANE, WOODHOUSE LANE MSCP, LEEDS",60,24/07/2020,30,0
LS84576655,05/07/2020,"BUS LANE, WOODHOUSE LANE MSCP, LEEDS",60,27/07/2020,30,0
LS84576666,05/07/2020,"BUS LANE, WOODHOUSE LANE MSCP, LEEDS",60,05/07/2020,30,0
LS84576666,05/07/2020,"BUS LANE, WOODHOUSE LANE MSCP, LEEDS",60,27/07/2020,30,0
LS84576677,05/07/2020,"BUS LANE, WOODHOUSE LANE MSCP, LEEDS",60,05/07/2020,30,0
LS84576677,05/07/2020,"BUS LANE, WOODHOUSE LANE MSCP, LEEDS",60,21/07/2020,30,0
LS84576699,05/07/2020,"BUS LANE, WOODHOUSE LANE MSCP, LEEDS",60,05/07/2020,30,0
LS84576699,05/07/2020,"BUS LANE, WOODHOUSE LANE MSCP, LEEDS",60,21/07/2020,30,0
LS84576699,05/07/2020,"BUS LANE, WOODHOUSE LANE MSCP, LEEDS",60,22/07/2020,30,0
LS84576713,05/07/2020,"BUS LANE, WOODHOUSE LANE MSCP, LEEDS",60,05/07/2020,30,0
LS84576757,05/07/2020,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60,05/07/2020,30,0
LS84576757,05/07/2020,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60,21/07/2020,30,0
LS84576757,05/07/2020,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60,22/07/2020,30,0
LS84576768,05/07/2020,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60,21/07/2020,30,0
LS84576768,05/07/2020,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60,22/07/2020,30,0
LS84576779,05/07/2020,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60,29/09/2020,0,98
LS8457678A,05/07/2020,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60,05/07/2020,0,60
LS84576790,05/07/2020,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60,30/07/2020,30,0
LS84576917,05/07/2020,"BUS LANE, NEW MARKET STREET",60,05/07/2020,30,0
LS84576928,05/07/2020,"BUS LANE, NEW MARKET STREET",60,29/09/2020,0,98
LS84576939,05/07/2020,"BUS LANE, NEW MARKET STREET",60,01/08/2020,30,0
LS84576950,05/07/2020,"BUS LANE, NEW MARKET STREET",60,05/07/2020,0,60
LS84576961,05/07/2020,"BUS LANE, NEW MARKET STREET",60,05/07/2020,30,0
LS84576972,05/07/2020,"BUS LANE, NEW MARKET STREET",60,26/08/2020,90,0
LS84576983,05/07/2020,"BUS LANE, NEW MARKET STREET",60,05/07/2020,0,98
LS84576983,05/07/2020,"BUS LANE, NEW MARKET STREET",60,19/08/2020,0,98
LS84578195,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578220,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,0
LS84578220,05/07/2020,"BUS LANE, BOAR LANE",60,17/09/2020,0,0
LS84578253,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578286,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578311,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578322,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578344,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578377,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578388,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578402,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578413,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578424,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578435,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578468,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578479,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578490,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578504,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578515,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578537,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578559,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS8457856A,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578570,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578581,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578592,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578617,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578628,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578639,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS8457864A,05/07/2020,"BUS LANE, BOAR LANE",60,05/07/2020,0,60
LS84578719,05/07/2020,"BUS LANE, BURLEY ROAD",60,05/07/2020,0,60
LS84566709,06/07/2020,"BUS LANE, CANAL STREET",60,06/07/2020,30,0
LS84566775,06/07/2020,"BUS LANE, OTLEY ROAD HEADINGLEY",60,13/07/2020,30,0
LS84566924,06/07/2020,"BUS LANE, BURMANTOFTS ST JUNC RIGTON APP",60,06/07/2020,30,0
LS84566924,06/07/2020,"BUS LANE, BURMANTOFTS ST JUNC RIGTON APP",60,14/07/2020,30,0
LS8456779A,06/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,06/07/2020,30,0
LS8456779A,06/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,14/07/2020,30,0
LS84568271,06/07/2020,"BUS LANE, YORK RD JNC APPLETON WAY",60,17/07/2020,30,0
LS84569354,06/07/2020,"BUS LANE, BOAR LANE",60,06/07/2020,0,60
LS84569365,06/07/2020,"BUS LANE, BOAR LANE",60,06/07/2020,0,98
LS84569376,06/07/2020,"BUS LANE, BOAR LANE",60,06/07/2020,0,0
LS84578752,06/07/2020,"BUS LANE, KIRKSTALL ROAD (JUNC VIADUCT RD)",60,06/07/2020,30,0
LS84578752,06/07/2020,"BUS LANE, KIRKSTALL ROAD (JUNC VIADUCT RD)",60,28/07/2020,30,0
LS84578763,06/07/2020,"BUS LANE, KIRKSTALL ROAD (JUNC VIADUCT RD)",60,19/08/2020,0,98
LS84578785,06/07/2020,"BUS LANE, KIRKSTALL ROAD (JUNC VIADUCT RD)",60,06/07/2020,30,0
LS84578785,06/07/2020,"BUS LANE, KIRKSTALL ROAD (JUNC VIADUCT RD)",60,27/07/2020,30,0
LS84578796,06/07/2020,"BUS LANE, KIRKSTALL ROAD (JUNC VIADUCT RD)",60,06/07/2020,30,0
LS84578865,06/07/2020,"BUS LANE, COMMERCIAL ROAD (NR BEECROFT ST)",60,06/07/2020,30,0
LS84578887,06/07/2020,"BUS LANE, CANAL STREET",60,06/07/2020,30,0
LS84578887,06/07/2020,"BUS LANE, CANAL STREET",60,22/07/2020,30,0
LS84578898,06/07/2020,"BUS LANE, CANAL STREET",60,06/07/2020,60,0
LS84578898,06/07/2020,"BUS LANE, CANAL STREET",60,28/08/2020,60,0
LS84578901,06/07/2020,"BUS LANE, CANAL STREET",60,17/08/2020,30,0
LS84578956,06/07/2020,"BUS LANE, YORK ROAD JUNC SKELTON TERRACE",60,06/07/2020,30,0
LS84578956,06/07/2020,"BUS LANE, YORK ROAD JUNC SKELTON TERRACE",60,07/08/2020,30,0
LS84579019,06/07/2020,"BUS LANE, OTLEY ROAD HEADINGLEY",60,23/07/2020,30,0
LS8457902A,06/07/2020,"BUS LANE, OTLEY ROAD HEADINGLEY",60,03/08/2020,30,0
LS84579030,06/07/2020,"BUS LANE, OTLEY ROAD HEADINGLEY",60,06/07/2020,30,0
LS84579121,06/07/2020,"BUS LANE, BURMANTOFTS ST JUNC RIGTON APP",60,06/07/2020,98,0
LS84579121,06/07/2020,"BUS LANE, BURMANTOFTS ST JUNC RIGTON APP",60,29/09/2020,98,0
LS84579132,06/07/2020,"BUS LANE, BURMANTOFTS ST JUNC RIGTON APP",60,06/07/2020,30,0
LS84579132,06/07/2020,"BUS LANE, BURMANTOFTS ST JUNC RIGTON APP",60,22/07/2020,30,0
LS84579132,06/07/2020,"BUS LANE, BURMANTOFTS ST JUNC RIGTON APP",60,23/07/2020,30,0
LS84579154,06/07/2020,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60,06/07/2020,30,0
LS84579165,06/07/2020,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60,31/07/2020,30,0
LS84579187,06/07/2020,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60,06/07/2020,30,0
LS84579187,06/07/2020,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60,29/07/2020,30,0
LS84579187,06/07/2020,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60,30/07/2020,30,0
LS84579198,06/07/2020,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60,06/07/2020,30,0
LS84579198,06/07/2020,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60,28/07/2020,30,0
LS84579314,06/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,06/07/2020,30,0
LS84579314,06/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,21/07/2020,30,0
LS84579314,06/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,22/07/2020,30,0
LS84579325,06/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,29/07/2020,30,0
LS84579347,06/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,30/07/2020,30,0
LS84579347,06/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,31/07/2020,30,0
LS84579358,06/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,06/07/2020,30,0
LS84579358,06/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,25/07/2020,30,0
LS84579369,06/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,24/07/2020,30,0
LS8457937A,06/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,06/07/2020,30,0
LS84579380,06/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,06/07/2020,30,0
LS84579405,06/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,06/07/2020,30,0
LS84579405,06/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,04/08/2020,30,0
LS84579416,06/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,06/07/2020,30,0
LS84579416,06/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,03/09/2020,30,0
LS84579416,06/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,08/09/2020,30,0
LS84579427,06/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,23/07/2020,30,0
LS84579449,06/07/2020,"BUS LANE, ELLAND RD OPP HOXTON MOUNT",60,19/08/2020,0,98
